id,status,created_time,response_time,hops,responses
7597,200,75.730000,0.014841,[i45-f13],[0.014841]
7598,200,75.737000,0.018628,[i56-f8],[0.018628]
7599,200,75.744000,0.018999,[i61-f13],[0.018999]
7600,200,75.758000,0.015245,[i56-f8],[0.015245]
7602,200,75.777000,0.015163,[i56-f8],[0.015163]
7601,200,75.772000,0.022982,[i61-f13],[0.022982]
7604,200,75.800000,0.010806,[i61-f13],[0.010806]
7603,200,75.790000,0.030679,[i45-f13],[0.030679]
7605,200,75.814000,0.023305,[i61-f13],[0.023305]
7606,200,75.822000,0.015808,[i45-f13],[0.015808]
7607,200,75.835000,0.010808,[i56-f8],[0.010808]
7608,200,75.844000,0.023506,[i45-f13],[0.023506]
7610,200,75.862000,0.011047,[i61-f13],[0.011047]
7609,200,75.853000,0.022418,[i56-f8],[0.022418]
7611,200,75.870000,0.027193,[i45-f13],[0.027193]
7612,200,75.881000,0.022565,[i56-f8],[0.022565]
7613,200,75.890000,0.022873,[i61-f13],[0.022873]
7614,200,75.899000,0.019459,[i45-f13],[0.019459]
7615,200,75.906000,0.014716,[i56-f8],[0.014716]
7616,200,75.917000,0.015120,[i61-f13],[0.01512]
7617,200,75.932000,0.010632,[i56-f8],[0.010632]
7618,200,75.944000,0.026579,[i56-f8],[0.026579]
7620,200,75.958000,0.015001,[i45-f13],[0.015001]
7619,200,75.952000,0.026875,[i61-f13],[0.026875]
7621,200,75.973000,0.010482,[i56-f8],[0.010482]
7622,200,75.984000,0.010439,[i56-f8],[0.010439]
7623,200,75.993000,0.022945,[i61-f13],[0.022945]
7624,200,76.005000,0.019088,[i56-f8],[0.019088]
7625,200,76.012000,0.023047,[i45-f13],[0.023047]
7626,200,76.023000,0.019509,[i61-f13],[0.019509]
7627,200,76.033000,0.010565,[i56-f8],[0.010565]
7628,200,76.042000,0.026962,[i45-f13],[0.026962]
7629,200,76.051000,0.022974,[i56-f8],[0.022974]
7630,200,76.057000,0.026800,[i61-f13],[0.0268]
7631,200,76.070000,0.023471,[i45-f13],[0.023471]
7632,200,76.078000,0.026403,[i56-f8],[0.026403]
7633,200,76.088000,0.026740,[i61-f13],[0.02674]
7634,200,76.104000,0.018903,[i45-f13],[0.018903]
7636,200,76.128000,0.010881,[i45-f13],[0.010881]
7635,200,76.113000,0.026459,[i56-f8],[0.026459]
7637,200,76.137000,0.018963,[i61-f13],[0.018963]
7638,200,76.144000,0.022521,[i56-f8],[0.022521]
7639,200,76.151000,0.023211,[i45-f13],[0.023211]
7640,200,76.163000,0.018862,[i61-f13],[0.018862]
7641,200,76.174000,0.010442,[i56-f8],[0.010442]
7642,200,76.179000,0.022954,[i45-f13],[0.022954]
7643,200,76.190000,0.018489,[i56-f8],[0.018489]
7644,200,76.200000,0.028047,[i61-f13],[0.028047]
7645,200,76.218000,0.023557,[i56-f8],[0.023557]
7646,200,76.228000,0.020044,[i45-f13],[0.020044]
7647,200,76.235000,0.019478,[i61-f13],[0.019478]
7648,200,76.244000,0.018913,[i56-f8],[0.018913]
7649,200,76.255000,0.026866,[i61-f13],[0.026866]
7651,200,76.267000,0.015361,[i45-f13],[0.015361]
