id,status,created_time,response_time,hops,responses
53,200,10.485000,0.185028,[i20-f4],[0.185028]
54,200,10.706000,0.154273,[i20-f4],[0.154273]
55,200,10.907000,0.172004,[i20-f4],[0.172004]
56,200,11.102000,0.167125,[i20-f4],[0.167125]
57,200,11.292000,0.177324,[i20-f4],[0.177324]
58,200,11.506000,0.167308,[i20-f4],[0.167308]
59,200,11.694000,0.157222,[i20-f4],[0.157222]
60,200,11.882000,0.252348,[i20-f4],[0.252348]
61,200,12.111000,0.204820,[i11-f11],[0.20482]
62,200,12.328000,0.204569,[i11-f11],[0.204569]
63,200,12.509000,0.204603,[i20-f4],[0.204603]
64,200,12.695000,0.204697,[i11-f11],[0.204697]
65,200,12.887000,0.204591,[i20-f4],[0.204591]
66,200,13.072000,0.204914,[i11-f11],[0.204914]
67,200,13.285000,0.204767,[i11-f11],[0.204767]
68,200,13.472000,0.205179,[i20-f4],[0.205179]
69,200,13.663000,0.204587,[i11-f11],[0.204587]
70,200,13.869000,0.204763,[i11-f11],[0.204763]
71,200,14.061000,0.205032,[i20-f4],[0.205032]
72,200,14.262000,0.204701,[i11-f11],[0.204701]
73,200,14.478000,0.204681,[i11-f11],[0.204681]
74,200,14.664000,0.204593,[i20-f4],[0.204593]
75,200,14.870000,0.204526,[i20-f4],[0.204526]
76,200,15.069000,0.204843,[i11-f11],[0.204843]
77,200,15.275000,0.204456,[i11-f11],[0.204456]
78,200,15.484000,0.205026,[i11-f11],[0.205026]
79,200,15.699000,0.162248,[i11-f11],[0.162248]
80,200,15.915000,0.185265,[i11-f11],[0.185265]
81,200,16.092000,0.204976,[i20-f4],[0.204976]
82,200,16.271000,0.170006,[i11-f11],[0.170006]
83,200,16.493000,0.198986,[i11-f11],[0.198986]
84,200,16.718000,0.204766,[i11-f11],[0.204766]
85,200,16.912000,0.205202,[i20-f4],[0.205202]
86,200,17.130000,0.307058,[i20-f4],[0.307058]
87,200,17.352000,0.204326,[i11-f11],[0.204326]
88,200,17.539000,0.204556,[i20-f4],[0.204556]
89,200,17.763000,0.204771,[i20-f4],[0.204771]
90,200,17.949000,0.205469,[i11-f11],[0.205469]
91,200,18.157000,0.204270,[i11-f11],[0.20427]
92,200,18.373000,0.163442,[i11-f11],[0.163442]
93,200,18.567000,0.161249,[i11-f11],[0.161249]
94,200,18.760000,0.187370,[i11-f11],[0.18737]
95,200,18.976000,0.204667,[i11-f11],[0.204667]
96,200,19.177000,0.204734,[i20-f4],[0.204734]
97,200,19.325000,0.204368,[i11-f11],[0.204368]
98,200,19.530000,0.205116,[i11-f11],[0.205116]
99,200,19.716000,0.204697,[i20-f4],[0.204697]
100,200,19.912000,0.204653,[i11-f11],[0.204653]
101,200,20.132000,0.204821,[i11-f11],[0.204821]
102,200,20.343000,0.204336,[i11-f11],[0.204336]
103,200,20.560000,0.205501,[i11-f11],[0.205501]
104,200,20.742000,0.204853,[i20-f4],[0.204853]
105,200,20.952000,0.204931,[i20-f4],[0.204931]
106,200,21.188000,0.204881,[i20-f4],[0.204881]
107,200,21.398000,0.204660,[i20-f4],[0.20466]
108,200,21.587000,0.203890,[i11-f11],[0.20389]
109,200,21.766000,0.204098,[i20-f4],[0.204098]
110,200,21.924000,0.206099,[i11-f11],[0.206099]
111,200,22.133000,0.203496,[i11-f11],[0.203496]
112,200,22.345000,0.205194,[i11-f11],[0.205194]
